,Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
11452,201309.0,United Airlines,UA,United Airlines,UA,International,Asia,Deplaned,Other,International,G,60908.0
11453,201309.0,United Airlines,UA,United Airlines,UA,International,Asia,Enplaned,Other,International,G,55880.0
11454,201309.0,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Deplaned,Other,International,G,9456.0
11455,201309.0,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Enplaned,Other,International,G,9855.0
11456,201309.0,United Airlines,UA,United Airlines,UA,International,Canada,Deplaned,Other,Terminal 3,F,18973.0
11457,201309.0,United Airlines,UA,United Airlines,UA,International,Canada,Enplaned,Other,Terminal 3,F,17647.0
11458,201309.0,United Airlines,UA,United Airlines,UA,International,Europe,Deplaned,Other,International,G,46679.0
11459,201309.0,United Airlines,UA,United Airlines,UA,International,Europe,Enplaned,Other,International,G,46793.0
11460,201309.0,United Airlines,UA,United Airlines,UA,International,Mexico,Deplaned,Other,International,G,13787.0
11461,201309.0,United Airlines,UA,United Airlines,UA,International,Mexico,Enplaned,Other,International,G,14747.0
11462,201309.0,Virgin America,VX,Virgin America,VX,Domestic,US,Deplaned,Low Fare,Terminal 2,D,148628.0
11463,201309.0,Virgin America,VX,Virgin America,VX,Domestic,US,Enplaned,Low Fare,Terminal 2,D,150010.0
11464,201309.0,Virgin America,VX,Virgin America,VX,International,Mexico,Deplaned,Low Fare,International,A,2009.0
11465,201309.0,Virgin America,VX,Virgin America,VX,International,Mexico,Enplaned,Low Fare,Terminal 2,D,1816.0
11466,201309.0,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Deplaned,Other,International,A,10712.0
11467,201309.0,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Enplaned,Other,International,A,10836.0
11468,201309.0,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Deplaned,Other,International,A,6838.0
11469,201309.0,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Enplaned,Other,International,A,6552.0
